relative_path,product_id,official_split,fine_class_id,coarse_class_id
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_001.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_002.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_003.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_004.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_005.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_006.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_007.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_008.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_009.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_010.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_011.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_012.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_013.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_014.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_015.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_016.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_017.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_018.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_019.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_020.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_021.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_022.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_023.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_024.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_025.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_026.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_027.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_028.jpg,Golden-Delicious,train,0,0
train/Fruit/Apple/Golden-Delicious/Golden-Delicious_029.jpg,Golden-Delicious,train,0,0
