image_id,product_id,split,source_dataset,source_country,source_type,view_type,width,height,sha256
8a3f58d261516185,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,bd016ad708760f2442086947ccfd16a54e9650f5f1b6c25f2e3e2000e2e3a5ae
29e6ab7f24e5e428,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,faf73b0e58065cf625d54bdd9230d77b26e9dd5079beb770129ba9d61ebaec56
6afa5ebc9e46b38f,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,64a123a1a0fadfa1b13ae974c184b84eb24d6f20e7f3ea64e174043500ea9ab0
69d1d1545d0e3f72,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,8b9750c1371308b1aa47b7c493a4c8e10afeb595588caa03f042f26badd4a40d
ad4fb3864427a3fd,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,4b900e2a38076bd75e22e91b0a3ed205f233c595838794afbb2ee4b85b161e71
57d1b1f91f5a1901,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,7e3621510cf37230305302a8edeaff5a7d553c45cee2dfee4cf8f89ff8426b5b
b1837da4ec82ded3,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,62f25d2189e16c21194838f8ed40d044f909f6e7f549d1157ea406655515b565
482c40e5921e547e,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,3cff116617c60c283b147916173dd2f477390440289fa8a9dbe5b7344a8e7f45
235b12aaaf1569d8,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,bf2fd80ad436ebd04302de6cbe77d4ca60665845d0780a7084a6092ad8be50f0
6fa2a1825c49de68,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,4ae2c9cf7d8038379f230237ca83f2d8ca49c23380374416021411aee12ec523
a7f200184bfa743d,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,2c309bc4f22746dcaeecc22af9d653bbf04f014d51a3f3178a6971e04a1057bf
12073a5d0e30e08d,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,6327d20194479c187ab55b724bcc7c13c79d9707e89f1e485a87350461095d7c
640d9b766a0d7ca2,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,d4f9e9098d3b26338f6d3fb8a984f00557875e06af36e4b12367aef44810b4d9
cd9e8b61c6f40236,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,f586d5914408c1ef97a65b556eb4e67567feaa503e9c6dac7fbbf90ae88140c9
1fa2612a717aec68,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,25d68f6ff622a81e56a55740342b75674bc03a38c061038f02d559046af6c0b2
bee1616f88d83cc2,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,3b5fb4653dcff070077fe8fe6b2a7ce7c240d9ceacce0f3950cf964c24ce956b
06d6f8a343032b2b,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,91a593a96d36601f858224523d6cade68c3cb07ae358a622732434f410d7efcc
c9022d3b2defd8b8,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,4b49932f3a4627cfef35a88cfe8a0d529aad1d0be4e51004fc057aee523fb8bd
87317d0a43f7a985,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,c9eef112588cbb847be5c52a2cdd18ff124ec2e2b50620fcf6129f9a92c449ca
495c25e3299f7dd3,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,bd8f78f465e6ee627f39c43325f364b7df2a6c33a561783a21809074f66ee89b
2b99b51f79332a92,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019,NON_INDIAN,INTERNATIONAL_PACKAGING_FOUNDATION,natural,348,348,0e08165307d0ac465fee5cefaba941d7d07d64b249daa907ba135c81b5fa5a82
