image_id,product_id,split,source
8a3f58d261516185,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
29e6ab7f24e5e428,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
6afa5ebc9e46b38f,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
69d1d1545d0e3f72,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
ad4fb3864427a3fd,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
57d1b1f91f5a1901,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
b1837da4ec82ded3,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
482c40e5921e547e,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
235b12aaaf1569d8,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
6fa2a1825c49de68,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
a7f200184bfa743d,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
12073a5d0e30e08d,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
640d9b766a0d7ca2,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
cd9e8b61c6f40236,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
1fa2612a717aec68,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
bee1616f88d83cc2,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
06d6f8a343032b2b,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
c9022d3b2defd8b8,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
87317d0a43f7a985,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
495c25e3299f7dd3,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
2b99b51f79332a92,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
c78188c91fc45c42,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
19786650cfc93d4f,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
e247a5b195f97516,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
eb4ab71bff825d4f,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
84560f92759c71da,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
3511adc7f930869c,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
afa1aa1a326a04b8,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
bd3e46855902341f,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
77eef684fbe8387e,Oatly-Natural-Oatghurt,test,GroceryStoreDataset_Klasson2019
